UserID,Timestamp,Event,SubscriptionType,Description
User_399,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_397,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_395,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_393,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_391,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_389,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_387,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_385,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_383,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_381,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_379,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_377,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_375,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_373,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_371,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_369,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_367,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_365,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_363,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_361,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_359,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_357,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_355,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_353,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_351,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_349,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_347,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_345,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_343,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_341,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_339,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_337,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_335,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_333,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_331,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_329,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_327,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_325,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_323,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_321,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_319,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
